480;01-04-2019 10:00:00;Withdrawal 6678 50 550
480;05-04-2019 11:02:01;Transfer 6678 50 500
480;09-04-2019 13:10:10;Transfer 6678 20 570
480;12-05-2019 22:30:05;Withdrawal 6678 50 450
480;12-05-2019 23:55:50;Transfer 6678 100000 100670
720;13-05-2019 13:00:00;6691 -50 550
720;20-05-2019 14:02:01;6691 +50 500
720;23-05-2019 15:10:10;6691 +20 570
720;25-05-2019 16:30:05;6691 -50 450
720;25-06-2019 17:55:50;6691 +10000 10450
430;26-05-2019 11:55:50;9002 +686 9990
430;27-06-2019 11:55:50;9002 +500 10490
430;28-06-2019 11:55:50;9002 -190 10300
1070;29-05-2019 10:55:50;6682 +10000 88878
1070;30-06-2019 19:55:50;6682 +10000 98878
1070;30-07-2019 20:55:50;6682 +10000 108878
